
1,Test1,Roscoe,100,100,100,100,true,NORMAL
4,daniella,Roscoe,100,100,100,100,true,NORMAL
4,daniella,Roscoe,100,83,40,48,true,NORMAL,2025-03-26T18:30:51.558381900
1,Test1,Roscoe,100,99,97,98,true,NORMAL,2025-03-26T18:30:55.827441900
1,Test1,Roscoe,100,99,97,98,true,NORMAL,2025-03-26T18:31:04.486400800
1,d,Sterling,100,100,100,100,true,NORMAL
1,d,Sterling,100,98,94,96,true,NORMAL,2025-03-26T18:31:11.791649700
1,Test1,Roscoe,100,96,88,92,true,NORMAL,2025-03-26T18:31:25.489812400
1,Test1,Roscoe,100,97,91,94,true,NORMAL,2025-03-26T18:31:37.268206200
